Adams    ADAM 
Hardin    HARD 
Morgan    MORG
Alexander   ALEX 
Henderson  HNDR 
Moultrie   MOUL
Bond     BOND 
Henry    HENR 
Ogle     OGLE
Boone    BOON 
Iroquois   IROQ 
Peoria     PEOR
Brown    BROW 
Jackson  JACK 
Perry     PERR
Bureau    BURO 
Jasper   JASP 
Piatt    PIAT
Calhoun    CALH 
Jefferson  JEFF 
Pike     PIKE
Carroll    CARR 
Jersey   JERS 
Pope    POPE
Cass     CASS 
JoDaviess JODA 
Pulaski    PULA
Champaign  CHAM 
Johnson   JOHN 
Putnam    PUTN
Christian   CHRS 
Kane   KANE 
Randolph   RAND
Clark     CLRK 
Kankakee  KANK R
ichland   RICH
Clay     CLAY 
Kendall   KEND 
Rock Island  ROCK
Clinton    CLNT 
Knox    KNOX 
Saline    SALI
Coles     COLE 
Lake    LAKE 
Sangamon  SANG
Cook     COOK 
LaSalle   LASA 
Schuyler   SCHY
Crawford   CRAW 
Lawrence  LAWR 
Scott     SCOT
Cumberland  CUMB 
Lee     LEE 
Shelby    SHEL
DeKalb    DEKA 
Livingston  LIVG 
Stark     STAR
DeWitt    DEWT 
Logan    LOGN 
St Clair   SCLA
Douglas    DOUG 
Macon   MACN 
Stephenson  STEP
DuPage    DUPG 
Macoupin  MCPN 
Tazewell    TAZW
Edgar     EDGR 
Madison   MADN 
Union    UNIO
Edward    EDWA 
Marion   MARI 
Vermilion   VERM
Effingham   EFFG 
Marshall   MSHL 
Wabash    WABA
Fayette    FAYE 
Mason   MASN 
Warren    WARR
Ford     FORD 
Massac   MSSC 
Washington  WASH
Franklin    FRNK 
McDonough MCDN 
Wayne    WAYN
Fulton    FULT 
McHenry  MCHE 
White     WHIT
Gallatin    GALL 
McLean   MCLN 
Whiteside   WTSD
Greene    GREE 
Menard   MNRD 
Will     WILL
Grundy    GRUN 
Mercer   MRCR 
Williamson   WMSN
Hamilton   HAML 
Monroe   MNRO 
Winnebago   WBGO
Hancock    HANC 
Montgomery MNTG 
Woodford   WOOD
